City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
618,Haines Junction,CA,60.75,-137.51,20.03,93,100,4.52,snow
619,Nanlong,CN,31.35,106.06,59.83,88,100,3.53,light rain
620,Gulu,UG,2.77,32.3,66.9,95,100,3.67,light rain
621,Padang,ID,-0.95,100.35,78.98,78,100,3.98,moderate rain
622,Yulara,AU,-25.24,130.99,62.6,25,73,5.82,broken clouds
623,Lermontovka,RU,47.15,134.34,34.03,92,55,4.81,broken clouds
624,Banjar,ID,-8.19,114.97,78.71,77,76,3.8,broken clouds
625,Saint-Pierre,RE,-21.34,55.48,68.0,68,40,11.41,scattered clouds
626,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,100,75,4.47,broken clouds
627,Ajdabiya,LY,30.76,20.23,70.97,61,63,12.71,broken clouds
628,Phenix City,US,32.47,-85.0,59.0,66,90,11.41,overcast clouds
629,Abonnema,NG,4.71,6.79,87.8,70,75,9.17,broken clouds
630,Ikalamavony,MG,-21.15,46.58,63.61,63,2,12.24,clear sky
631,Klaksvik,FO,62.23,-6.59,46.4,75,50,16.11,scattered clouds
632,Aguas Belas,BR,-9.11,-37.12,94.77,30,59,13.35,broken clouds
633,Morgan City,US,29.7,-91.21,54.0,76,90,13.87,overcast clouds
634,Wakkanai,JP,45.41,141.67,45.14,71,53,11.88,broken clouds
635,Qaqortoq,GL,60.72,-46.03,30.2,63,75,2.24,broken clouds
636,Pemangkat,ID,1.17,108.97,78.91,87,96,8.14,light rain
637,Shimanovsk,RU,52.0,127.7,30.25,92,100,4.59,overcast clouds
638,San Angelo,US,31.46,-100.44,55.99,75,1,4.92,clear sky
639,Kendari,ID,-3.94,122.5,77.13,88,47,3.51,scattered clouds
640,Ushtobe,KZ,45.25,77.98,40.71,64,0,7.92,clear sky
641,Marawi,PH,8.0,124.29,75.0,95,92,7.0,light rain
642,Lagoa,PT,39.05,-27.98,68.99,89,100,32.88,light rain
643,Snezhnogorsk,RU,69.19,33.25,30.2,86,75,6.71,broken clouds
644,Rocha,UY,-34.48,-54.33,61.36,57,0,9.55,clear sky
645,Seabra,BR,-12.42,-41.77,81.5,53,94,10.33,overcast clouds
646,Lundazi,ZM,-12.29,33.18,74.57,45,18,8.37,few clouds
647,Villa Bruzual,VE,9.33,-69.12,88.57,61,96,4.21,overcast clouds
648,Aktau,KZ,43.65,51.2,51.8,25,0,8.95,clear sky
649,Kaz,RU,52.91,87.31,31.46,98,100,11.25,overcast clouds
650,Maniitsoq,GL,65.42,-52.9,23.7,87,89,3.85,overcast clouds
651,Nizhniy Kuranakh,RU,58.84,125.49,7.05,93,94,0.65,overcast clouds
652,Upata,VE,8.01,-62.4,85.57,63,82,7.23,broken clouds
